Product_Name,Brand,MRP,Sale_Price,Discount (%),Rating,Reviews_Count,Category,Stock_Status,Discount_Amount
MORPHE Cheek Thrills Multi Finish Face Trio,MORPHE,1900,1900,0,3.8,83,Makeup,In Stock,0
MARS Love Track Velvet Lip Tint,MARS,284,269.8,5,4,4180,Makeup,In Stock,14.2
"Swiss Beauty Real Make-Up Base Highlighting Primer , Brighte...",Swiss,378,332.64,12,4.5,113989,Makeup,In Stock,45.36
Kay Beauty x Falguni Shane Peacock Luxe Matte Lipstick,Kay,1799,1799,0,3.8,374,Makeup,In Stock,0
Conscious Chemist Daily Dissolve Ultra Light Oil Cleanser,Conscious,377,237.51,37,4,7014,Makeup,In Stock,139.49
Nykaa Cosmetics Eyes On Me! 4 In 1 Quad Eyeshadow Palette,Nykaa,244,158.6,35,4.5,521634,Makeup,In Stock,85.4
"LOreal Paris Infallible Matte Resistance Lipstick, Transfer ...",LOreal,849,721.65,15,4,9628,Makeup,In Stock,127.35
MARS SPF50 PA++++ High Coverage Liquid Foundation,MARS,360,342,5,4.1,13932,Makeup,In Stock,18
Kay Beauty Hydra Glow Tinted Sunscreen SPF 40 PA++ with Hyal...,Kay,1199,1199,0,3.8,50,Makeup,In Stock,0
NARS Natural Radiant Longwear Foundation,NARS,4800,4800,0,3.8,416,Makeup,In Stock,0
Maybelline New York Super Stay Lumi-Matte Liquid Foundation,Maybelline,660,528,20,4.1,12735,Makeup,In Stock,132
Kay Beauty 24HR Coloured Matte Kajal,Kay,399,399,0,4.1,45286,Makeup,In Stock,0
Kay Beauty Contour Stick,Kay,653,587.7,10,4.1,45752,Makeup,In Stock,65.3
"Lakme Forever Matte Liquid Lip Color, 16Hr Lipstick, Lightwe...",Lakme,450,450,0,4.5,229665,Makeup,In Stock,0
Swiss Beauty Long Lasting Professional Makeup Fixer Setting ...,Swiss,266,244.72,8,4.5,106439,Makeup,In Stock,21.28
Charlotte Tilbury Airbrush Flawless Foundation Foundation,Charlotte,5100,5100,0,4.3,78163,Makeup,In Stock,0
Parul Garg Beauty Signature Classic Red Sindoor Pack - Liqui...,Parul,395,395,0,4,1748,Makeup,In Stock,0
Maybelline New York Fit Me Matte + Poreless 16H Oil Control ...,Maybelline,203,172.55,15,4.5,221511,Makeup,In Stock,30.45
Nykaa Cosmetics Eyes On Me! 10-in-1 Eyeshadow Palette,Nykaa,489,342.3,30,4.5,252510,Makeup,In Stock,146.7
Kay Beauty Full Coverage Cloud Cushion Foundation with SPF P...,Kay,1599,1599,0,3.8,780,Makeup,In Stock,0
Nykaa Tools 4-in-1 Travel Friendly Mini Brush Set - Eye & Fa...,Nykaa,499,379.24,24,3.8,39,Makeup,In Stock,119.76
STAZE 9to9 Gloss Lock 2-In-1 Liquid Lipstick,STAZE,399,319.2,20,4,3275,Makeup,In Stock,79.8
Garnier Skin Naturals Micellar Oil-Infused Cleansing Water F...,Garnier,399,319.2,20,4.5,270969,Makeup,In Stock,79.8
Maybelline New York Fit Me Matte+Poreless 16H Oil Control Fo...,Maybelline,454,317.8,30,4.5,4371989,Makeup,In Stock,136.2
"Lakme Xtraordin-Airy Mattereal Mousse Foundation, Matte Fini...",Lakme,769,538.3,30,4.5,536150,Makeup,In Stock,230.7
M.A.C MACximal Matte Lipstick,M.A.C,2550,2550,0,4.5,317259,Makeup,In Stock,0
Too Faced Born This Way Super Coverage Multi Use Sculpting C...,Too,2240,1792,20,4.1,47313,Makeup,In Stock,448
LANEIGE Glaze Craze Tinted Lip Serum,LANEIGE,1150,1150,0,4,1640,Makeup,In Stock,0
Kay Beauty Creme Blush,Kay,764,649.4,15,4.5,159131,Makeup,In Stock,114.6
Daily Life Forever52 Ultra Definition Liquid Foundation,Daily,1079,971.1,10,4.5,244838,Makeup,In Stock,107.9
Maybelline New York Volum Express Hyper Curl Mascara,Maybelline,343,274.4,20,4.5,355985,Makeup,In Stock,68.6
MARS SPF 50 PA++++ Cancel Concealer,MARS,199,159.2,20,4,2869,Makeup,In Stock,39.8
"Simply Nam Satin Soft Lip Creme, Hydrating, Botanical Colour...",Simply,934,793.9,15,3.8,139,Makeup,In Stock,140.1
House Of Makeup Face Anything Luminous Skin Tint For Glass S...,House,743,690.99,7,4,1968,Makeup,In Stock,52.01
Nykaa Cosmetics All Day Matte 12HR Oil Control Face Compact ...,Nykaa,168,109.2,35,4.5,414816,Makeup,In Stock,58.8
Daily Life Forever52 Complete Coverage Concealer,Daily,584,525.6,10,4.1,26832,Makeup,In Stock,58.4
M.A.C Prep + Prime Fix+ (Alcohol Free) Setting Spray - Origi...,M.A.C,2700,2700,0,3.8,584,Makeup,In Stock,0
Maybelline New York Fit Me Matte+Poreless 16H Oil Control Fo...,Maybelline,260,205.4,21,4.5,741375,Makeup,In Stock,54.6
MARS Its Glow Clock Primer Griping Glow,MARS,379,360.05,5,4,2609,Makeup,In Stock,18.95
PIXI On The Glow Blush Mini,PIXI,1250,1250,0,3.8,228,Makeup,In Stock,0
M.A.C Mineralize Skinfinish,M.A.C,4000,4000,0,4.1,21798,Makeup,In Stock,0
"Lakme 9 To 5 Powerplay Priming Matte Lipstick, Lasts hrs",Lakme,520,416,20,4.3,96295,Makeup,In Stock,104
Charlotte Tilbury Hollywood Flawless Filter Mini,Charlotte,2000,2000,0,4,3654,Makeup,In Stock,0
Maybelline New York Superstay Teddy Tint - Lip And Cheek Col...,Maybelline,637,541.45,15,4,5161,Makeup,In Stock,95.55
M.A.C Mineralize Blush,M.A.C,3650,3650,0,4,7304,Makeup,In Stock,0
Kay Beauty Hyper Gloss Liquid Luminizing Highlighter,Kay,949,949,0,4,2610,Makeup,In Stock,0
MARS Matte Lipsticks Box,MARS,398,354.22,11,4.1,35829,Makeup,In Stock,43.78
Bioderma Dermatological Micellar Water Sensibio H2O - Gently...,Bioderma,1104,938.4,15,4.1,44993,Makeup,In Stock,165.6
PAC 4-IN-1 Magnetic Makeup Brush - Innovative Compact Handle...,PAC,896,806.4,10,3.8,66,Makeup,In Stock,89.6
"Maybelline New York High Impact Tattoo Pen Liner, Lasts Up T...",Maybelline,488,366,25,4.1,15379,Makeup,In Stock,122
M.A.C Prep + Prime Fix+ (Alcohol Free) Setting Spray - Origi...,M.A.C,2700,2700,0,3.8,584,Makeup,In Stock,0
Nykaa Matte-illicious Transferproof Lip Crayon Lipstick with...,Nykaa,519,337.35,35,4.5,346704,Makeup,In Stock,181.65
Charlotte Tilbury Airbrush Flawless Finish Mini,Charlotte,2900,2900,0,4,1643,Makeup,In Stock,0
"Lakme Forever Matte Compact, Smooth Finish, Lasts For 12 Hrs...",Lakme,221,187.85,15,4.1,14828,Makeup,In Stock,33.15
Faces Canada Magneteyes Kajal,Faces,155,127.1,18,4.5,108230,Makeup,In Stock,27.9
MARS Drip Lip Mist,MARS,313,297.35,5,4,3170,Makeup,In Stock,15.65
Nykaa Creme Nail Enamel,Nykaa,195,165.75,15,4,9944,Makeup,In Stock,29.25
